track,condition,experiment,round_quality,seq_quality,n_rounds,phase_idle_duration_mean_s,phase_download_duration_mean_s,phase_training_duration_mean_s,phase_upload_duration_mean_s,download_precision,download_recall,download_f1,training_precision,training_recall,training_f1,upload_precision,upload_recall,upload_f1,_n_classified,decision_lag_mean_ms
Autoencoder,attack,/home/lawrence/Lawrence/FL_poison/Result/Autoencoder/proxy/attack/krum/sign_flip/exp1,0.996,0.996,500,10.879249000549317,1.5624929821801807,0.17447448684600644,5.531156967063705,0.34493041749502984,0.694,0.46082337317397076,0.27956989247311825,0.052,0.08768971332209106,0.0,0.0,0.0,1500,409.2173223473896
Autoencoder,attack,/home/lawrence/Lawrence/FL_poison/Result/Autoencoder/proxy/attack/median/min_max/exp1,0.986,0.986,500,14.735154342651366,1.6600555676606394,0.2870155673834585,6.0693829458567405,0.37359900373599003,0.6,0.4604758250191865,0.3114754098360656,0.076,0.12218649517684887,0.0,0.0,0.0,1500,394.0641023569979
Autoencoder,attack,/home/lawrence/Lawrence/FL_poison/Result/Autoencoder/proxy/attack/median/min_sum/exp1,0.9966666666666667,0.9966666666666667,600,6.986037055651347,1.9584084245716789,0.39646337585576585,5.746095133544209,0.33976510067114096,0.675,0.45200892857142855,0.26785714285714285,0.05,0.08426966292134831,0.0,0.0,0.0,1800,342.6571136070234
Autoencoder,attack,/home/lawrence/Lawrence/FL_poison/Result/Autoencoder/proxy/attack/median/noise/exp1,0.995,0.995,400,284.0714795589447,1.3223071719769548,0.03726620363412341,6.838820290744753,0.26211180124223604,0.5275,0.350207468879668,0.375,0.0075,0.014705882352941176,0.0,0.0,0.0,1200,470.13585843969844
Autoencoder,attack,/home/lawrence/Lawrence/FL_poison/Result/Autoencoder/proxy/attack/median/scale/exp1,0.992,0.992,500,12.909354829788208,1.629085908493688,0.30038728060260894,6.176937098464658,0.35063663075416257,0.716,0.4707429322813938,0.3305785123966942,0.08,0.1288244766505636,0.0,0.0,0.0,1500,385.10962634274193
Autoencoder,attack,/home/lawrence/Lawrence/FL_poison/Result/Autoencoder/proxy/attack/median/sign_flip/exp1,0.994,0.994,500,10.711015224456787,1.635995614959533,0.24804380619861033,5.970563791841867,0.3127413127413127,0.648,0.421875,0.29411764705882354,0.07,0.11308562197092084,0.0,0.0,0.0,1500,402.8384400482897
Autoencoder,attack,/home/lawrence/Lawrence/FL_poison/Result/Autoencoder/proxy/attack/multi-krum/min_max/exp1,0.994,0.994,500,16.49219274520874,1.6231390398512904,0.2792600822640617,6.187831415736699,0.3658227848101266,0.578,0.448062015503876,0.2966101694915254,0.07,0.11326860841423948,0.0,0.0,0.0,1500,410.1353335130785
Autoencoder,attack,/home/lawrence/Lawrence/FL_poison/Result/Autoencoder/proxy/attack/multi-krum/min_sum/exp1,0.994,0.992,500,8.57899227142334,1.5304429137730742,0.29916508145015724,6.12503660804549,0.3229268292682927,0.662,0.4340983606557377,0.3409090909090909,0.09,0.14240506329113925,0.0,0.0,0.0,1500,402.1160962676056
Autoencoder,attack,/home/lawrence/Lawrence/FL_poison/Result/Autoencoder/proxy/attack/multi-krum/noise/exp1,0.9875,0.9875,400,7.001347661018372,1.2673019638544396,0.09731646730929987,7.025711153730562,0.31056701030927836,0.6025,0.4098639455782313,0.2857142857142857,0.005,0.009828009828009828,0.0,0.0,0.0,1200,464.28846875189873
Autoencoder,attack,/home/lawrence/Lawrence/FL_poison/Result/Autoencoder/proxy/attack/multi-krum/scale/exp1,0.994,0.994,500,7.945484352111817,1.7204429169735276,0.3155029772754654,6.453671977701915,0.35183527305282003,0.786,0.48608534322820035,0.348993288590604,0.104,0.16024653312788906,0.0,0.0,0.0,1500,402.7945296096579
Autoencoder,attack,/home/lawrence/Lawrence/FL_poison/Result/Autoencoder/proxy/attack/multi-krum/sign_flip/exp1,0.994,0.994,500,32.49941325187683,1.7203948636889697,0.3277460132806114,6.408288690885548,0.31719367588932806,0.642,0.4246031746031746,0.38461538461538464,0.11,0.17107309486780714,0.0,0.0,0.0,1500,413.78848021529177
Autoencoder,attack,/home/lawrence/Lawrence/FL_poison/Result/Autoencoder/proxy/attack/trimmed_mean/min_max/exp1,0.996,0.996,500,9.71838870048523,1.7355070620596051,0.4293001214105763,6.900884726243411,0.35543766578249336,0.804,0.49294911097486205,0.3469387755102041,0.102,0.15765069551777433,0.0,0.0,0.0,1500,393.53903907028115
Autoencoder,attack,/home/lawrence/Lawrence/FL_poison/Result/Autoencoder/proxy/attack/trimmed_mean/min_sum/exp1,0.99,0.99,500,14.121829652786255,1.755047991482065,0.4670766911036532,6.82272069171161,0.3669402110199297,0.626,0.4626755358462675,0.33557046979865773,0.1,0.15408320493066255,0.0,0.0,0.0,1500,384.9538859919192
Autoencoder,attack,/home/lawrence/Lawrence/FL_poison/Result/Autoencoder/proxy/attack/trimmed_mean/noise/exp1,0.998,0.998,500,11.53143939971924,1.7309987062442758,0.4902591289642579,7.043742351875993,0.32231404958677684,0.624,0.4250681198910082,0.36129032258064514,0.112,0.17099236641221374,0.0,0.0,0.0,1500,381.689058987976
Autoencoder,attack,/home/lawrence/Lawrence/FL_poison/Result/Autoencoder/proxy/attack/trimmed_mean/scale/exp1,0.975,0.975,400,11.778236448764801,1.291080562884991,0.1699632828052227,6.757294485507868,0.31007751937984496,0.6,0.4088586030664395,0.0,0.0,0.0,0.0,0.0,0.0,1200,490.067286974359
Autoencoder,attack,/home/lawrence/Lawrence/FL_poison/Result/Autoencoder/proxy/attack/trimmed_mean/sign_flip/exp1,0.996,0.996,500,6.221722412109375,1.6728469018476555,0.2869668274998186,6.135653539833774,0.31921824104234525,0.784,0.4537037037037037,0.33070866141732286,0.084,0.1339712918660287,0.0,0.0,0.0,1500,410.8302405963855
Autoencoder,attack,/home/lawrence/Lawrence/FL_poison/Result/Autoencoder/proxy/attack/flame/min_sum/exp1,0.9775,0.9775,400,10.41720050573349,1.778730325723119,0.8124576318658339,7.114883715263153,0.6666666666666666,0.28,0.39436619718309857,0.43820224719101125,0.195,0.2698961937716263,0.0,0.0,0.0,1200,355.6640961797468
