bundle_id,condition,round,source,global_accuracy,global_macro_f1,global_loss,aggregation_duration_s,evaluation_duration_s,phase_duration_s,accuracy,f1_score,loss,fit_duration_s,train_duration_s
bundle_0007,flame_blind,11,server,0.3223617237869019,0.2309136503464989,1.537813345213684,0.0035316944122314,0.286466121673584,0.3205060958862304,,,,,
bundle_0007,flame_blind,12,server,0.4183915846623685,0.3174158694944709,1.3692166911249126,0.0022964477539062,0.3026635646820068,0.3268206119537353,,,,,
bundle_0007,flame_blind,13,server,0.4180522565320665,0.3061101374269917,1.6765636059644873,0.003617525100708,0.2429718971252441,0.268428087234497,,,,,
bundle_0007,flame_blind,14,server,0.4021038344078724,0.3110342448700882,1.4670623220101349,0.0025887489318847,0.2623219490051269,0.2856595516204834,,,,,
bundle_0007,flame_blind,15,server,0.3898880217170003,0.3114669583576095,1.4881337311132743,0.0025718212127685,0.2560696601867676,0.2801990509033203,,,,,
bundle_0007,flame_blind,16,server,0.4177129284017645,0.3359380714977573,1.4258129584574886,0.0049507617950439,0.2891709804534912,0.3157660961151123,,,,,
bundle_0007,flame_blind,17,server,0.4190702409229725,0.3455261240405987,1.4500222621952674,0.0022304058074951,0.2569811344146728,0.2798957824707031,,,,,
bundle_0007,flame_blind,18,server,0.3963352561927384,0.3299933040714171,1.451864630236721,0.0024178028106689,0.2580499649047851,0.2814970016479492,,,,,
bundle_0007,flame_blind,19,server,0.4591109602986087,0.3748580083245045,1.3308603152769236,0.002204418182373,0.2613987922668457,0.2847740650177002,,,,,
bundle_0007,flame_blind,20,server,0.4319647098744485,0.371878389324037,1.523106083450861,0.0256710052490234,0.2523808479309082,0.2987983226776123,,,,,
bundle_0007,flame_blind,21,server,0.4696301323379708,0.4027864145851756,1.335701027602554,0.0037353038787841,0.2734248638153076,0.2981839179992676,,,,,
bundle_0007,flame_blind,22,server,0.4543603664743807,0.3745232989919911,1.4264088589577988,0.004373550415039,0.3080525398254394,0.34375,,,,,
bundle_0007,flame_blind,23,server,0.4835425856803529,0.4051962211260365,1.4472482951163923,0.0027294158935546,0.2620799541473388,0.286675214767456,,,,,
bundle_0007,flame_blind,24,server,0.4183915846623685,0.35470939210392,2.017092810592936,0.0022451877593994,0.2541401386260986,0.2776730060577392,,,,,
bundle_0007,flame_blind,25,server,0.4336613505259586,0.3822198837469815,1.4465909918405502,0.0022017955780029,0.2922360897064209,0.3159034252166748,,,,,
bundle_0007,flame_blind,26,server,0.4655581947743468,0.4193881875902383,1.4141276385123178,0.0031177997589111,0.2664723396301269,0.291621446609497,,,,,
bundle_0007,flame_blind,27,server,0.492704445198507,0.4292874810527307,1.6089859345341926,0.0028684139251708,0.2511646747589111,0.2752509117126465,,,,,
bundle_0007,flame_blind,28,server,0.5191720393620631,0.4519922328083972,1.57220276728055,0.0027551651000976,0.2748422622680664,0.3081965446472168,,,,,
bundle_0007,flame_blind,29,server,0.4414658975229046,0.3998050407186782,1.5391307943426311,0.0030615329742431,0.2443122863769531,0.2691116333007812,,,,,
bundle_0007,flame_blind,30,server,0.5110281642348151,0.4575640227472968,1.4042757472467695,0.0036408901214599,0.2966454029083252,0.3208627700805664,,,,,
bundle_0007,flame_blind,31,server,0.5198506956226672,0.4572254439415685,1.6092907918846562,0.0022506713867187,0.2517626285552978,0.275407075881958,,,,,
