component_run_id,experiment_id,run_id,file_timestamp,condition,defense,attack,raw_attack,model,dataset,repetition
server:time_20260723_144256,exp_1784832176,run_1784832176,20260723_144256,trimmed_mean_run_01,trimmed_mean,,,,,
server:time_20260717_121617,exp_1784308577,run_1784308577,20260717_121617,trimmed_mean_blind,trimmed_mean,,,,,
server:time_20260717_122926,exp_1784309366,run_1784309366,20260717_122926,trimmed_mean_blind,trimmed_mean,,,,,
server:time_20260717_124846,exp_1784310526,run_1784310526,20260717_124846,trimmed_mean_blind,trimmed_mean,,,,,
server:time_20260717_131314,exp_1784311994,run_1784311994,20260717_131314,trimmed_mean_blind,trimmed_mean,,,,,
server:time_20260717_130122,exp_1784311282,run_1784311282,20260717_130122,trimmed_mean_blind,trimmed_mean,,,,,
analyzer:time_20260717_153352,exp_1784316834,,20260717_153352,exp1,,,,,,
analyzer:time_20260717_154421,exp_1784317465,,20260717_154421,exp2,,,,,,
analyzer:time_20260717_155528,exp_1784318130,,20260717_155528,exp3,,,,,,
analyzer:time_20260717_162106,exp_1784319669,,20260717_162106,exp5,,,,,,
analyzer:time_20260717_160920,exp_1784318962,,20260717_160920,exp4,,,,,,
server:time_20260717_143241,exp_1784316761,run_1784316761,20260717_143241,multi_krum_blind,multi_krum,,,,,
server:time_20260717_144525,exp_1784317525,run_1784317525,20260717_144525,multi_krum_blind,multi_krum,,,,,
server:time_20260717_145611,exp_1784318171,run_1784318171,20260717_145611,multi_krum_blind,multi_krum,,,,,
server:time_20260717_152208,exp_1784319728,run_1784319728,20260717_152208,multi_krum_blind,multi_krum,,,,,
server:time_20260717_151003,exp_1784319003,run_1784319003,20260717_151003,multi_krum_blind,multi_krum,,,,,
analyzer:time_20260717_173613,exp_1784324175,,20260717_173613,exp1,,,,,,
analyzer:time_20260717_174533,exp_1784324735,,20260717_174533,exp2,,,,,,
analyzer:time_20260717_175437,exp_1784325278,,20260717_175437,exp3,,,,,,
analyzer:time_20260717_182555,exp_1784327156,,20260717_182555,exp5,,,,,,
analyzer:time_20260717_180602,exp_1784325964,,20260717_180602,exp4,,,,,,
analyzer:time_20260717_142728,exp_1784312850,,20260717_142728,exp1,,,,,,
server:time_20260717_133009,exp_1784313009,run_1784313009,20260717_133009,median_blind,median,,,,,
analyzer:time_20260717_144317,exp_1784313802,,20260717_144317,exp2,,,,,,
server:time_20260717_134239,exp_1784313759,run_1784313759,20260717_134239,median_blind,median,,,,,
server:time_20260717_135152,exp_1784314312,run_1784314312,20260717_135152,median_blind,median,,,,,
analyzer:time_20260717_145221,exp_1784314342,,20260717_145221,exp3,,,,,,
server:time_20260717_141640,exp_1784315800,run_1784315800,20260717_141640,median_blind,median,,,,,
